Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2008,6b,45+,Black Hispanic,No PNC,0
2008,6b,N.S.,Black Hispanic,No PNC,0
2008,6b,Total,Black Hispanic,PNC Start Unk,124
2008,6b,<15,Black Hispanic,PNC Start Unk,0
2008,6b,15-17,Black Hispanic,PNC Start Unk,9
2008,6b,18-19,Black Hispanic,PNC Start Unk,9
2008,6b,20-24,Black Hispanic,PNC Start Unk,31
2008,6b,25-29,Black Hispanic,PNC Start Unk,24
2008,6b,30-34,Black Hispanic,PNC Start Unk,34
2008,6b,35-39,Black Hispanic,PNC Start Unk,13
2008,6b,40-44,Black Hispanic,PNC Start Unk,4
2008,6b,45+,Black Hispanic,PNC Start Unk,0
2008,6b,N.S.,Black Hispanic,PNC Start Unk,0
2008,6b,Total,Black Hispanic,PNC Unk,169
2008,6b,<15,Black Hispanic,PNC Unk,1
2008,6b,15-17,Black Hispanic,PNC Unk,3
2008,6b,18-19,Black Hispanic,PNC Unk,24
2008,6b,20-24,Black Hispanic,PNC Unk,47
2008,6b,25-29,Black Hispanic,PNC Unk,34
2008,6b,30-34,Black Hispanic,PNC Unk,33
2008,6b,35-39,Black Hispanic,PNC Unk,22
2008,6b,40-44,Black Hispanic,PNC Unk,5
2008,6b,45+,Black Hispanic,PNC Unk,0
2008,6b,N.S.,Black Hispanic,PNC Unk,0
2008,6b,Total,Other Hispanic,All,"9,991"
2008,6b,<15,Other Hispanic,All,18
2008,6b,15-17,Other Hispanic,All,357
2008,6b,18-19,Other Hispanic,All,735
2008,6b,20-24,Other Hispanic,All,"2,573"
2008,6b,25-29,Other Hispanic,All,"2,803"
2008,6b,30-34,Other Hispanic,All,"2,108"
2008,6b,35-39,Other Hispanic,All,"1,112"
2008,6b,40-44,Other Hispanic,All,269
2008,6b,45+,Other Hispanic,All,15
2008,6b,N.S.,Other Hispanic,All,1
2008,6b,Total,Other Hispanic,1st - 3rd Month,"5,842"
2008,6b,<15,Other Hispanic,1st - 3rd Month,4
2008,6b,15-17,Other Hispanic,1st - 3rd Month,135
2008,6b,18-19,Other Hispanic,1st - 3rd Month,342
